"Experiment" "Beetle" "Trial" "Heading" "ShortName" "Indirect" "Direct" "Condition"
"135" "LPexper.20181122.WaxGibbous.Wits" 14 5 10 "Moon
Urban" TRUE TRUE "MoonUrban"
"136" "LPexper.20181122.WaxGibbous.Wits" 14 6 30 "Moon
Urban" TRUE TRUE "MoonUrban"
"137" "LPexper.20181122.WaxGibbous.Wits" 14 7 25 "Moon
Urban" TRUE TRUE "MoonUrban"
"138" "LPexper.20181122.WaxGibbous.Wits" 14 8 25 "Moon
Urban" TRUE TRUE "MoonUrban"
"139" "LPexper.20181122.WaxGibbous.Wits" 14 9 60 "Moon
Urban" TRUE TRUE "MoonUrban"
"140" "LPexper.20181122.WaxGibbous.Wits" 14 10 55 "Moon
Urban" TRUE TRUE "MoonUrban"
"141" "LPexper.20181122.WaxGibbous.Wits" 15 1 230 "Moon
Urban" TRUE TRUE "MoonUrban"
"142" "LPexper.20181122.WaxGibbous.Wits" 15 2 235 "Moon
Urban" TRUE TRUE "MoonUrban"
"143" "LPexper.20181122.WaxGibbous.Wits" 15 3 230 "Moon
Urban" TRUE TRUE "MoonUrban"
"144" "LPexper.20181122.WaxGibbous.Wits" 15 4 225 "Moon
Urban" TRUE TRUE "MoonUrban"
"145" "LPexper.20181122.WaxGibbous.Wits" 15 5 230 "Moon
Urban" TRUE TRUE "MoonUrban"
"146" "LPexper.20181122.WaxGibbous.Wits" 15 6 225 "Moon
Urban" TRUE TRUE "MoonUrban"
"147" "LPexper.20181122.WaxGibbous.Wits" 15 7 220 "Moon
Urban" TRUE TRUE "MoonUrban"
"148" "LPexper.20181122.WaxGibbous.Wits" 15 8 230 "Moon
Urban" TRUE TRUE "MoonUrban"
"149" "LPexper.20181122.WaxGibbous.Wits" 15 9 235 "Moon
Urban" TRUE TRUE "MoonUrban"
"150" "LPexper.20181122.WaxGibbous.Wits" 15 10 225 "Moon
Urban" TRUE TRUE "MoonUrban"
"151" "LPexper.20181122.WaxGibbous.Wits" 16 1 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"152" "LPexper.20181122.WaxGibbous.Wits" 16 2 110 "Moon
Urban" TRUE TRUE "MoonUrban"
"153" "LPexper.20181122.WaxGibbous.Wits" 16 3 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"154" "LPexper.20181122.WaxGibbous.Wits" 16 4 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"155" "LPexper.20181122.WaxGibbous.Wits" 16 5 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"156" "LPexper.20181122.WaxGibbous.Wits" 16 6 105 "Moon
Urban" TRUE TRUE "MoonUrban"
"157" "LPexper.20181122.WaxGibbous.Wits" 16 7 135 "Moon
Urban" TRUE TRUE "MoonUrban"
"158" "LPexper.20181122.WaxGibbous.Wits" 16 8 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"159" "LPexper.20181122.WaxGibbous.Wits" 16 9 130 "Moon
Urban" TRUE TRUE "MoonUrban"
"160" "LPexper.20181122.WaxGibbous.Wits" 16 10 125 "Moon
Urban" TRUE TRUE "MoonUrban"
"161" "LPexper.20181122.WaxGibbous.Wits" 17 1 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"162" "LPexper.20181122.WaxGibbous.Wits" 17 2 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"163" "LPexper.20181122.WaxGibbous.Wits" 17 3 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"164" "LPexper.20181122.WaxGibbous.Wits" 17 4 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"165" "LPexper.20181122.WaxGibbous.Wits" 17 5 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"166" "LPexper.20181122.WaxGibbous.Wits" 17 6 120 "Moon
Urban" TRUE TRUE "MoonUrban"
"167" "LPexper.20181122.WaxGibbous.Wits" 17 7 110 "Moon
Urban" TRUE TRUE "MoonUrban"
"168" "LPexper.20181122.WaxGibbous.Wits" 17 8 85 "Moon
Urban" TRUE TRUE "MoonUrban"
"169" "LPexper.20181122.WaxGibbous.Wits" 17 9 80 "Moon
Urban" TRUE TRUE "MoonUrban"
"170" "LPexper.20181122.WaxGibbous.Wits" 17 10 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"171" "LPexper.20181122.WaxGibbous.Wits" 18 1 30 "Moon
Urban" TRUE TRUE "MoonUrban"
"172" "LPexper.20181122.WaxGibbous.Wits" 18 2 50 "Moon
Urban" TRUE TRUE "MoonUrban"
"173" "LPexper.20181122.WaxGibbous.Wits" 18 3 55 "Moon
Urban" TRUE TRUE "MoonUrban"
"174" "LPexper.20181122.WaxGibbous.Wits" 18 4 35 "Moon
Urban" TRUE TRUE "MoonUrban"
"175" "LPexper.20181122.WaxGibbous.Wits" 18 5 30 "Moon
Urban" TRUE TRUE "MoonUrban"
"176" "LPexper.20181122.WaxGibbous.Wits" 18 6 35 "Moon
Urban" TRUE TRUE "MoonUrban"
"177" "LPexper.20181122.WaxGibbous.Wits" 18 7 40 "Moon
Urban" TRUE TRUE "MoonUrban"
"178" "LPexper.20181122.WaxGibbous.Wits" 18 8 50 "Moon
Urban" TRUE TRUE "MoonUrban"
"179" "LPexper.20181122.WaxGibbous.Wits" 18 9 45 "Moon
Urban" TRUE TRUE "MoonUrban"
"180" "LPexper.20181122.WaxGibbous.Wits" 18 10 55 "Moon
Urban" TRUE TRUE "MoonUrban"
"181" "LPexper.20181122.WaxGibbous.Wits" 19 1 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"182" "LPexper.20181122.WaxGibbous.Wits" 19 2 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"183" "LPexper.20181122.WaxGibbous.Wits" 19 3 90 "Moon
Urban" TRUE TRUE "MoonUrban"
"184" "LPexper.20181122.WaxGibbous.Wits" 19 4 60 "Moon
Urban" TRUE TRUE "MoonUrban"
"185" "LPexper.20181122.WaxGibbous.Wits" 19 5 55 "Moon
Urban" TRUE TRUE "MoonUrban"
"186" "LPexper.20181122.WaxGibbous.Wits" 19 6 50 "Moon
Urban" TRUE TRUE "MoonUrban"
"187" "LPexper.20181122.WaxGibbous.Wits" 19 7 50 "Moon
Urban" TRUE TRUE "MoonUrban"
"188" "LPexper.20181122.WaxGibbous.Wits" 19 8 75 "Moon
Urban" TRUE TRUE "MoonUrban"
"189" "LPexper.20181122.WaxGibbous.Wits" 19 9 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"190" "LPexper.20181122.WaxGibbous.Wits" 19 10 65 "Moon
Urban" TRUE TRUE "MoonUrban"
"191" "LPexper.20181122.WaxGibbous.Wits" 20 1 320 "Moon
Urban" TRUE TRUE "MoonUrban"
"192" "LPexper.20181122.WaxGibbous.Wits" 20 2 10 "Moon
Urban" TRUE TRUE "MoonUrban"
"193" "LPexper.20181122.WaxGibbous.Wits" 20 3 355 "Moon
Urban" TRUE TRUE "MoonUrban"
"194" "LPexper.20181122.WaxGibbous.Wits" 20 4 350 "Moon
Urban" TRUE TRUE "MoonUrban"
"195" "LPexper.20181122.WaxGibbous.Wits" 20 5 25 "Moon
Urban" TRUE TRUE "MoonUrban"
"196" "LPexper.20181122.WaxGibbous.Wits" 20 6 40 "Moon
Urban" TRUE TRUE "MoonUrban"
"197" "LPexper.20181122.WaxGibbous.Wits" 20 7 40 "Moon
Urban" TRUE TRUE "MoonUrban"
"198" "LPexper.20181122.WaxGibbous.Wits" 20 8 30 "Moon
Urban" TRUE TRUE "MoonUrban"
"199" "LPexper.20181122.WaxGibbous.Wits" 20 9 45 "Moon
Urban" TRUE TRUE "MoonUrban"
"200" "LPexper.20181122.WaxGibbous.Wits" 20 10 25 "Moon
Urban" TRUE TRUE "MoonUrban"
"401" "LPexper.20181127.LowMWay.Thornwood" 41 1 60 "Stars 2
Rural" FALSE FALSE "StarsRural"
"402" "LPexper.20181127.LowMWay.Thornwood" 41 2 80 "Stars 2
Rural" FALSE FALSE "StarsRural"
"403" "LPexper.20181127.LowMWay.Thornwood" 41 3 65 "Stars 2
Rural" FALSE FALSE "StarsRural"
"404" "LPexper.20181127.LowMWay.Thornwood" 41 4 60 "Stars 2
Rural" FALSE FALSE "StarsRural"
